date,country,yield3M,yield10Y
1995-09-01,Australia,0.075,0.0868619047619048
1995-10-01,Australia,0.075,0.0850863636363636
1995-11-01,Australia,0.075,0.08495
1995-12-01,Australia,0.075,0.08254736842105259
1996-01-01,Australia,0.075,0.08112380952380949
1996-02-01,Australia,0.075,0.08248571428571431
1996-03-01,Australia,0.075,0.0880809523809524
1996-04-01,Australia,0.075,0.08873684210526321
1996-05-01,Australia,0.075,0.0883217391304348
1996-06-01,Australia,0.075,0.0893157894736842
1996-07-01,Australia,0.07478261,0.086295652173913
1996-08-01,Australia,0.07,0.08039999999999999
1996-09-01,Australia,0.07,0.0800333333333333
1996-10-01,Australia,0.07,0.075504347826087
1996-11-01,Australia,0.06571429000000001,0.0715666666666667
1996-12-01,Australia,0.06175,0.07324
1997-01-01,Australia,0.06,0.07459047619047621
1997-02-01,Australia,0.06,0.07394
1997-03-01,Australia,0.06,0.0789947368421053
1997-04-01,Australia,0.06,0.07923809523809519
1997-05-01,Australia,0.05863636,0.0767454545454545
1997-06-01,Australia,0.055,0.07151
1997-07-01,Australia,0.05456522,0.06642608695652169
1997-08-01,Australia,0.05,0.0665095238095238
1997-09-01,Australia,0.05,0.0631136363636364
1997-10-01,Australia,0.05,0.061821739130434795
1997-11-01,Australia,0.05,0.060309999999999996
1997-12-01,Australia,0.05,0.0613904761904762
1998-01-01,Australia,0.05,0.05806
1998-02-01,Australia,0.05,0.05887
1998-03-01,Australia,0.05,0.05865
1998-04-01,Australia,0.05,0.05685
1998-05-01,Australia,0.05,0.0563904761904762
1998-06-01,Australia,0.05,0.055761904761904804
1998-07-01,Australia,0.05,0.055213043478260906
1998-08-01,Australia,0.05,0.056385714285714296
1998-09-01,Australia,0.05,0.0534590909090909
1998-10-01,Australia,0.05,0.0496590909090909
1998-11-01,Australia,0.05,0.0513095238095238
1998-12-01,Australia,0.047619049999999996,0.048547619047619096
1999-01-01,Australia,0.0475,0.051278947368421104
1999-02-01,Australia,0.0475,0.053
1999-03-01,Australia,0.0475,0.05526521739130431
1999-04-01,Australia,0.0475,0.053575
1999-05-01,Australia,0.0475,0.0587571428571429
1999-06-01,Australia,0.0475,0.062066666666666694
1999-07-01,Australia,0.0475,0.0613590909090909
1999-08-01,Australia,0.0475,0.0634
1999-09-01,Australia,0.0475,0.06341363636363641
1999-10-01,Australia,0.0475,0.0660666666666667
1999-11-01,Australia,0.04977273,0.06556363636363641
1999-12-01,Australia,0.05,0.0673714285714286
2000-01-01,Australia,0.05,0.071778947368421
2000-02-01,Australia,0.05476191,0.0695761904761905
2000-03-01,Australia,0.055,0.065704347826087
2000-04-01,Australia,0.05720588,0.0626470588235294
2000-05-01,Australia,0.05978261,0.0646565217391304
2000-06-01,Australia,0.06,0.06172380952380949
2000-07-01,Australia,0.06,0.0616190476190476
2000-08-01,Australia,0.062391300000000004,0.062273913043478304
2000-09-01,Australia,0.0625,0.0613619047619048
2000-10-01,Australia,0.0625,0.061079545454545504
2000-11-01,Australia,0.0625,0.0598954545454545
2000-12-01,Australia,0.0625,0.0554315789473684
2001-01-01,Australia,0.0625,0.0540547619047619
2001-02-01,Australia,0.058499999999999996,0.0532125
2001-03-01,Australia,0.05545455,0.0513068181818182
2001-04-01,Australia,0.05055555,0.0557722222222222
2001-05-01,Australia,0.05,0.0594347826086957
2001-06-01,Australia,0.05,0.0589675
2001-07-01,Australia,0.05,0.060863636363636404
2001-08-01,Australia,0.05,0.057615217391304395
2001-09-01,Australia,0.04775,0.0557825
2001-10-01,Australia,0.04521739,0.054076086956521704
2001-11-01,Australia,0.045,0.0545772727272727
2001-12-01,Australia,0.042763159999999995,0.058168421052631605
2002-01-01,Australia,0.0425,0.0585833333333333
2002-02-01,Australia,0.0425,0.0594575
2002-03-01,Australia,0.0425,0.06309000000000001
2002-04-01,Australia,0.0425,0.06294
2002-05-01,Australia,0.04445652,0.0621521739130435
2002-06-01,Australia,0.04723684,0.0600763157894737
2002-07-01,Australia,0.0475,0.0585978260869565
2002-08-01,Australia,0.0475,0.0564840909090909
2002-09-01,Australia,0.0475,0.0543571428571429
2002-10-01,Australia,0.0475,0.0565913043478261
2002-11-01,Australia,0.0475,0.0549952380952381
2002-12-01,Australia,0.0475,0.05395
2003-01-01,Australia,0.0475,0.052750000000000005
2003-02-01,Australia,0.0475,0.0516775
2003-03-01,Australia,0.0475,0.0527166666666667
2003-04-01,Australia,0.0475,0.0534605263157895
2003-05-01,Australia,0.0475,0.0502818181818182
2003-06-01,Australia,0.0475,0.048027499999999994
2003-07-01,Australia,0.0475,0.052328260869565206
2003-08-01,Australia,0.0475,0.0552404761904762
2003-09-01,Australia,0.0475,0.055129545454545494
2003-10-01,Australia,0.0475,0.056086956521739104
2003-11-01,Australia,0.049749999999999996,0.058739999999999994
2003-12-01,Australia,0.05226191,0.0575738095238095
2004-01-01,Australia,0.0525,0.057005
2004-02-01,Australia,0.0525,0.056205
2004-03-01,Australia,0.0525,0.054154347826086996
2004-04-01,Australia,0.0525,0.05803
2004-05-01,Australia,0.0525,0.059580952380952394
2004-06-01,Australia,0.0525,0.0584547619047619
2004-07-01,Australia,0.0525,0.0571772727272727
2004-08-01,Australia,0.0525,0.0558318181818182
2004-09-01,Australia,0.0525,0.0541204545454546
